date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:44	634366/634366	---M--	200	added ('OK')	image/jpeg	etag:CPK3nqeB6O4CEAE=	https://images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258776750-W7IE1GO180X6VSC6S3P9/EDITORIAL+LOOK+5.jpg	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258776750-W7IE1GO180X6VSC6S3P9/EDITORIAL+LOOK+5.jpg	(from https://www.marrisawilsonny.com/fall-winter-2021-editorial)
11:33:46	1070704/1070704	---M--	200	added ('OK')	image/jpeg	etag:CO7HmqmB6O4CEAE=	https://images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258781201-4F381ZG4B39S8S3O1VLW/EDITORIAL+LOOK+6.jpg	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258781201-4F381ZG4B39S8S3O1VLW/EDITORIAL+LOOK+6.jpg	(from https://www.marrisawilsonny.com/fall-winter-2021-editorial)
11:33:46	865157/865157	---M--	200	added ('OK')	image/jpeg	etag:CJCf1qyB6O4CEAE=	https://images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258783322-ABUK5YWOVNM54M2IA0BV/EDITORIAL+LOOK+8.jpg	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258783322-ABUK5YWOVNM54M2IA0BV/EDITORIAL+LOOK+8.jpg	(from https://www.marrisawilsonny.com/fall-winter-2021-editorial)
11:33:47	1477496/1477496	---M--	200	added ('OK')	image/jpeg	etag:CLbNj6qB6O4CEAE=	https://images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258782215-WB1NENEPXMLUAYUDZT0U/EDITORIAL+LOOK+7.jpg	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258782215-WB1NENEPXMLUAYUDZT0U/EDITORIAL+LOOK+7.jpg	(from https://www.marrisawilsonny.com/fall-winter-2021-editorial)
11:33:48	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/shop-collections	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/shop-collections.1e1.delayed	(from https://www.marrisawilsonny.com/privacy-policy)
11:33:48	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/collection	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/collection.1e2.delayed	(from https://www.marrisawilsonny.com/privacy-policy)
11:33:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:33:49%20GMT	http://www.marrisawilsonny.com/terms-of-use.html	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/terms-of-use.1e3.delayed	(from https://www.marrisawilsonny.com/privacy-policy)
11:33:50	785244/785244	---M--	200	added ('OK')	image/jpeg	etag:CN2Px6yB6O4CEAE=	https://images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258784106-FKFWV4T44XIU67OQ79VO/EDITORIAL+LOOK+10.jpg	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258784106-FKFWV4T44XIU67OQ79VO/EDITORIAL+LOOK+10.jpg	(from https://www.marrisawilsonny.com/fall-winter-2021-editorial)
11:33:50	794632/794632	---M--	200	added ('OK')	image/jpeg	etag:CP75u6qB6O4CEAE=	https://images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258783693-LU7QLVSFTUKZ83W9LGHV/EDITORIAL+LOOK+9.jpg	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258783693-LU7QLVSFTUKZ83W9LGHV/EDITORIAL+LOOK+9.jpg	(from https://www.marrisawilsonny.com/fall-winter-2021-editorial)
11:33:51	265453/265453	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2227bc7285305f92900171baa1ddb8db9a%22	https://www.marrisawilsonny.com/terms-of-use.html	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/terms-of-use.1e4.delayed	(from https://www.marrisawilsonny.com/privacy-policy)
11:33:51	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/shop-collections	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/shop-collections.1e5.delayed	(from https://www.marrisawilsonny.com/size-chart)
11:33:51	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/collection	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/collection.1e6.delayed	(from https://www.marrisawilsonny.com/size-chart)
